UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
488998,17200,17700,18010,20936,26772,9500,339,latest
489122,NA,NA,20789,16834,22466,6333,83,latest
489131,NA,NA,20789,16834,22466,6333,83,latest
489140,NA,NA,20789,16834,22466,6333,83,latest
489159,19200,17300,18488,22839,21747,5825,612,latest
489201,NA,NA,NA,NA,NA,3000,45,latest
489238,NA,NA,12283,NA,NA,5821,393,latest
489247,NA,NA,17744,15680,NA,5500,49,latest
489256,NA,NA,NA,NA,NA,NA,NA,latest
489283,28200,23500,26535,27790,29507,9499,5275,latest
489335,NA,NA,NA,NA,NA,NA,NA,latest
489344,46100,56000,69991,72402,73817,16577,9581,latest
489353,46100,56000,69991,72402,73817,16577,9581,latest
489371,46700,37300,57346,51459,56414,20000,381,latest
489779,29700,22500,26757,28182,28653,10288,18534,latest
489812,NA,NA,23088,27042,30221,4788,314,latest
489830,NA,NA,NA,20654,21305,9300,97,latest
489858,NA,67100,84796,88684,95932,26500,4379,latest
489937,NA,NA,20751,24435,32973,11250,122,latest
490018,NA,NA,NA,NA,NA,6333,83,latest
490045,NA,NA,NA,NA,NA,NA,NA,latest
490054,NA,NA,NA,NA,NA,18313,498,latest
490063,NA,NA,NA,NA,NA,NA,NA,latest
490081,NA,NA,NA,NA,NA,NA,NA,latest
490090,NA,NA,NA,NA,NA,NA,NA,latest
490106,NA,NA,NA,NA,NA,NA,NA,latest
490115,NA,NA,NA,NA,NA,7500,38,latest
490124,NA,NA,NA,NA,NA,NA,NA,latest
490133,NA,NA,NA,NA,NA,9438,56,latest
490142,NA,NA,NA,NA,NA,NA,NA,latest
490151,NA,NA,NA,NA,NA,NA,NA,latest
490160,NA,NA,NA,NA,NA,18568,28,latest
490197,NA,NA,NA,NA,NA,NA,32,latest
490203,NA,NA,NA,NA,NA,9500,105,latest
490212,NA,NA,NA,NA,NA,NA,15,latest
490221,NA,NA,NA,NA,NA,NA,17,latest
